Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1750839820934111,00000100,false,Rx,0,4,2C,1C,C8,41,00,00,00,00,00,00,00,00
1750839820934210,00000101,false,Rx,0,4,7A,0E,F3,42,00,00,00,00,00,00,00,00
1750839820934222,00000102,false,Rx,0,4,00,00,02,42,00,00,00,00,00,00,00,00
1750839821433236,00000100,false,Rx,0,4,2A,1C,C8,41,00,00,00,00,00,00,00,00
1750839821433301,00000101,false,Rx,0,4,80,0E,F3,42,00,00,00,00,00,00,00,00
1750839821433316,00000102,false,Rx,0,4,25,D7,08,42,00,00,00,00,00,00,00,00
1750839821931404,00000100,false,Rx,0,4,23,1C,C8,41,00,00,00,00,00,00,00,00
1750839821931460,00000101,false,Rx,0,4,86,0E,F3,42,00,00,00,00,00,00,00,00
1750839821931470,00000102,false,Rx,0,4,13,DB,0E,42,00,00,00,00,00,00,00,00
1750839822431995,00000100,false,Rx,0,4,18,1C,C8,41,00,00,00,00,00,00,00,00
1750839822432065,00000101,false,Rx,0,4,8C,0E,F3,42,00,00,00,00,00,00,00,00
1750839822432077,00000102,false,Rx,0,4,0D,52,13,42,00,00,00,00,00,00,00,00
1750839822931679,00000100,false,Rx,0,4,09,1C,C8,41,00,00,00,00,00,00,00,00
1750839822931754,00000101,false,Rx,0,4,92,0E,F3,42,00,00,00,00,00,00,00,00
1750839822931767,00000102,false,Rx,0,4,37,B2,15,42,00,00,00,00,00,00,00,00
1750839823431513,00000100,false,Rx,0,4,F7,1B,C8,41,00,00,00,00,00,00,00,00
1750839823431600,00000101,false,Rx,0,4,96,0E,F3,42,00,00,00,00,00,00,00,00
1750839823431615,00000102,false,Rx,0,4,37,B2,15,42,00,00,00,00,00,00,00,00
1750839823931708,00000100,false,Rx,0,4,E2,1B,C8,41,00,00,00,00,00,00,00,00
1750839823931769,00000101,false,Rx,0,4,9A,0E,F3,42,00,00,00,00,00,00,00,00
1750839823931782,00000102,false,Rx,0,4,0D,52,13,42,00,00,00,00,00,00,00,00
1750839824431510,00000100,false,Rx,0,4,CB,1B,C8,41,00,00,00,00,00,00,00,00
1750839824431575,00000101,false,Rx,0,4,9C,0E,F3,42,00,00,00,00,00,00,00,00
1750839824431584,00000102,false,Rx,0,4,13,DB,0E,42,00,00,00,00,00,00,00,00
1750839824931857,00000100,false,Rx,0,4,B3,1B,C8,41,00,00,00,00,00,00,00,00
1750839824931969,00000101,false,Rx,0,4,9E,0E,F3,42,00,00,00,00,00,00,00,00
1750839824931988,00000102,false,Rx,0,4,25,D7,08,42,00,00,00,00,00,00,00,00
1750839825432024,00000100,false,Rx,0,4,99,1B,C8,41,00,00,00,00,00,00,00,00
1750839825432170,00000101,false,Rx,0,4,9F,0E,F3,42,00,00,00,00,00,00,00,00
1750839825432182,00000102,false,Rx,0,4,00,00,02,42,00,00,00,00,00,00,00,00
1750839825932332,00000100,false,Rx,0,4,80,1B,C8,41,00,00,00,00,00,00,00,00
1750839825932441,00000101,false,Rx,0,4,9E,0E,F3,42,00,00,00,00,00,00,00,00
1750839825932452,00000102,false,Rx,0,4,B7,51,F6,41,00,00,00,00,00,00,00,00
1750839826431914,00000100,false,Rx,0,4,67,1B,C8,41,00,00,00,00,00,00,00,00
1750839826432039,00000101,false,Rx,0,4,9C,0E,F3,42,00,00,00,00,00,00,00,00
1750839826432077,00000102,false,Rx,0,4,DB,49,EA,41,00,00,00,00,00,00,00,00
1750839826931784,00000100,false,Rx,0,4,50,1B,C8,41,00,00,00,00,00,00,00,00
1750839826931870,00000101,false,Rx,0,4,9A,0E,F3,42,00,00,00,00,00,00,00,00
1750839826931887,00000102,false,Rx,0,4,E6,5B,E1,41,00,00,00,00,00,00,00,00
1750839827431732,00000100,false,Rx,0,4,3B,1B,C8,41,00,00,00,00,00,00,00,00
1750839827431817,00000101,false,Rx,0,4,96,0E,F3,42,00,00,00,00,00,00,00,00
1750839827431841,00000102,false,Rx,0,4,92,9B,DC,41,00,00,00,00,00,00,00,00
1750839827931634,00000100,false,Rx,0,4,29,1B,C8,41,00,00,00,00,00,00,00,00
1750839827931731,00000101,false,Rx,0,4,92,0E,F3,42,00,00,00,00,00,00,00,00
1750839827931750,00000102,false,Rx,0,4,92,9B,DC,41,00,00,00,00,00,00,00,00
1750839828431270,00000100,false,Rx,0,4,1A,1B,C8,41,00,00,00,00,00,00,00,00
1750839828431325,00000101,false,Rx,0,4,8C,0E,F3,42,00,00,00,00,00,00,00,00
1750839828431335,00000102,false,Rx,0,4,E6,5B,E1,41,00,00,00,00,00,00,00,00
1750839828931632,00000100,false,Rx,0,4,0F,1B,C8,41,00,00,00,00,00,00,00,00
1750839828931703,00000101,false,Rx,0,4,86,0E,F3,42,00,00,00,00,00,00,00,00
1750839828931716,00000102,false,Rx,0,4,DB,49,EA,41,00,00,00,00,00,00,00,00
1750839829431875,00000100,false,Rx,0,4,08,1B,C8,41,00,00,00,00,00,00,00,00
1750839829431951,00000101,false,Rx,0,4,80,0E,F3,42,00,00,00,00,00,00,00,00
1750839829431977,00000102,false,Rx,0,4,B7,51,F6,41,00,00,00,00,00,00,00,00
1750839829932128,00000100,false,Rx,0,4,06,1B,C8,41,00,00,00,00,00,00,00,00
1750839829932258,00000101,false,Rx,0,4,7A,0E,F3,42,00,00,00,00,00,00,00,00
1750839829932278,00000102,false,Rx,0,4,00,00,02,42,00,00,00,00,00,00,00,00
1750839830432109,00000100,false,Rx,0,4,08,1B,C8,41,00,00,00,00,00,00,00,00
1750839830432164,00000101,false,Rx,0,4,74,0E,F3,42,00,00,00,00,00,00,00,00
1750839830432171,00000102,false,Rx,0,4,25,D7,08,42,00,00,00,00,00,00,00,00
1750839830932055,00000100,false,Rx,0,4,0F,1B,C8,41,00,00,00,00,00,00,00,00
1750839830932180,00000101,false,Rx,0,4,6D,0E,F3,42,00,00,00,00,00,00,00,00
1750839830932198,00000102,false,Rx,0,4,13,DB,0E,42,00,00,00,00,00,00,00,00
1750839831431589,00000100,false,Rx,0,4,1A,1B,C8,41,00,00,00,00,00,00,00,00
1750839831431662,00000101,false,Rx,0,4,68,0E,F3,42,00,00,00,00,00,00,00,00
1750839831431677,00000102,false,Rx,0,4,0D,52,13,42,00,00,00,00,00,00,00,00
1750839831931631,00000100,false,Rx,0,4,29,1B,C8,41,00,00,00,00,00,00,00,00
1750839831931685,00000101,false,Rx,0,4,62,0E,F3,42,00,00,00,00,00,00,00,00
1750839831931694,00000102,false,Rx,0,4,37,B2,15,42,00,00,00,00,00,00,00,00
1750839832432117,00000100,false,Rx,0,4,3B,1B,C8,41,00,00,00,00,00,00,00,00
1750839832432166,00000101,false,Rx,0,4,5E,0E,F3,42,00,00,00,00,00,00,00,00
1750839832432173,00000102,false,Rx,0,4,37,B2,15,42,00,00,00,00,00,00,00,00
1750839832931563,00000100,false,Rx,0,4,50,1B,C8,41,00,00,00,00,00,00,00,00
1750839832931660,00000101,false,Rx,0,4,5A,0E,F3,42,00,00,00,00,00,00,00,00
1750839832931672,00000102,false,Rx,0,4,0D,52,13,42,00,00,00,00,00,00,00,00
1750839833431627,00000100,false,Rx,0,4,67,1B,C8,41,00,00,00,00,00,00,00,00
1750839833431690,00000101,false,Rx,0,4,57,0E,F3,42,00,00,00,00,00,00,00,00
1750839833431703,00000102,false,Rx,0,4,13,DB,0E,42,00,00,00,00,00,00,00,00
1750839833932466,00000100,false,Rx,0,4,80,1B,C8,41,00,00,00,00,00,00,00,00
1750839833932547,00000101,false,Rx,0,4,56,0E,F3,42,00,00,00,00,00,00,00,00
1750839833932566,00000102,false,Rx,0,4,25,D7,08,42,00,00,00,00,00,00,00,00
1750839834431528,00000100,false,Rx,0,4,99,1B,C8,41,00,00,00,00,00,00,00,00
1750839834431587,00000101,false,Rx,0,4,55,0E,F3,42,00,00,00,00,00,00,00,00
1750839834431597,00000102,false,Rx,0,4,00,00,02,42,00,00,00,00,00,00,00,00
1750839834931884,00000100,false,Rx,0,4,B3,1B,C8,41,00,00,00,00,00,00,00,00
1750839834931992,00000101,false,Rx,0,4,56,0E,F3,42,00,00,00,00,00,00,00,00
1750839834932014,00000102,false,Rx,0,4,B7,51,F6,41,00,00,00,00,00,00,00,00
1750839835431797,00000100,false,Rx,0,4,CB,1B,C8,41,00,00,00,00,00,00,00,00
1750839835431855,00000101,false,Rx,0,4,57,0E,F3,42,00,00,00,00,00,00,00,00
1750839835431869,00000102,false,Rx,0,4,DB,49,EA,41,00,00,00,00,00,00,00,00
1750839835931757,00000100,false,Rx,0,4,E2,1B,C8,41,00,00,00,00,00,00,00,00
1750839835931843,00000101,false,Rx,0,4,5A,0E,F3,42,00,00,00,00,00,00,00,00
1750839835931860,00000102,false,Rx,0,4,E6,5B,E1,41,00,00,00,00,00,00,00,00
1750839836431633,00000100,false,Rx,0,4,F7,1B,C8,41,00,00,00,00,00,00,00,00
1750839836431714,00000101,false,Rx,0,4,5E,0E,F3,42,00,00,00,00,00,00,00,00
1750839836431734,00000102,false,Rx,0,4,92,9B,DC,41,00,00,00,00,00,00,00,00
1750839836931779,00000100,false,Rx,0,4,09,1C,C8,41,00,00,00,00,00,00,00,00
1750839836931923,00000101,false,Rx,0,4,62,0E,F3,42,00,00,00,00,00,00,00,00
1750839836931940,00000102,false,Rx,0,4,92,9B,DC,41,00,00,00,00,00,00,00,00
1750839837432705,00000100,false,Rx,0,4,18,1C,C8,41,00,00,00,00,00,00,00,00
1750839837432764,00000101,false,Rx,0,4,68,0E,F3,42,00,00,00,00,00,00,00,00
1750839837432778,00000102,false,Rx,0,4,E6,5B,E1,41,00,00,00,00,00,00,00,00
1750839837933397,00000100,false,Rx,0,4,23,1C,C8,41,00,00,00,00,00,00,00,00
1750839837933513,00000101,false,Rx,0,4,6D,0E,F3,42,00,00,00,00,00,00,00,00
1750839837933534,00000102,false,Rx,0,4,DB,49,EA,41,00,00,00,00,00,00,00,00
1750839838432173,00000100,false,Rx,0,4,2A,1C,C8,41,00,00,00,00,00,00,00,00
1750839838432236,00000101,false,Rx,0,4,74,0E,F3,42,00,00,00,00,00,00,00,00
1750839838432263,00000102,false,Rx,0,4,B7,51,F6,41,00,00,00,00,00,00,00,00
1750839838932822,00000100,false,Rx,0,4,2C,1C,C8,41,00,00,00,00,00,00,00,00
1750839838932911,00000101,false,Rx,0,4,7A,0E,F3,42,00,00,00,00,00,00,00,00
1750839838932928,00000102,false,Rx,0,4,00,00,02,42,00,00,00,00,00,00,00,00
1750839839432750,00000100,false,Rx,0,4,2C,1C,C8,41,00,00,00,00,00,00,00,00
1750839839433039,00000101,false,Rx,0,4,7A,0E,F3,42,00,00,00,00,00,00,00,00
1750839839433088,00000102,false,Rx,0,4,00,00,02,42,00,00,00,00,00,00,00,00
1750839839932465,00000100,false,Rx,0,4,2A,1C,C8,41,00,00,00,00,00,00,00,00
1750839839932628,00000101,false,Rx,0,4,80,0E,F3,42,00,00,00,00,00,00,00,00
1750839839932677,00000102,false,Rx,0,4,25,D7,08,42,00,00,00,00,00,00,00,00
1750839840431857,00000100,false,Rx,0,4,23,1C,C8,41,00,00,00,00,00,00,00,00
1750839840431925,00000101,false,Rx,0,4,86,0E,F3,42,00,00,00,00,00,00,00,00
1750839840431939,00000102,false,Rx,0,4,13,DB,0E,42,00,00,00,00,00,00,00,00
1750839840931840,00000100,false,Rx,0,4,18,1C,C8,41,00,00,00,00,00,00,00,00
1750839840931948,00000101,false,Rx,0,4,8C,0E,F3,42,00,00,00,00,00,00,00,00
1750839840931957,00000102,false,Rx,0,4,0D,52,13,42,00,00,00,00,00,00,00,00
1750839841431418,00000100,false,Rx,0,4,09,1C,C8,41,00,00,00,00,00,00,00,00
1750839841431481,00000101,false,Rx,0,4,92,0E,F3,42,00,00,00,00,00,00,00,00
1750839841431494,00000102,false,Rx,0,4,37,B2,15,42,00,00,00,00,00,00,00,00
1750839841932057,00000100,false,Rx,0,4,F7,1B,C8,41,00,00,00,00,00,00,00,00
1750839841932121,00000101,false,Rx,0,4,96,0E,F3,42,00,00,00,00,00,00,00,00
1750839841932135,00000102,false,Rx,0,4,37,B2,15,42,00,00,00,00,00,00,00,00
1750839842431614,00000100,false,Rx,0,4,E2,1B,C8,41,00,00,00,00,00,00,00,00
1750839842431678,00000101,false,Rx,0,4,9A,0E,F3,42,00,00,00,00,00,00,00,00
1750839842431694,00000102,false,Rx,0,4,0D,52,13,42,00,00,00,00,00,00,00,00
1750839842931692,00000100,false,Rx,0,4,CB,1B,C8,41,00,00,00,00,00,00,00,00
1750839842931811,00000101,false,Rx,0,4,9C,0E,F3,42,00,00,00,00,00,00,00,00
1750839842931834,00000102,false,Rx,0,4,13,DB,0E,42,00,00,00,00,00,00,00,00
1750839843432328,00000100,false,Rx,0,4,B3,1B,C8,41,00,00,00,00,00,00,00,00
1750839843432400,00000101,false,Rx,0,4,9E,0E,F3,42,00,00,00,00,00,00,00,00
1750839843432416,00000102,false,Rx,0,4,25,D7,08,42,00,00,00,00,00,00,00,00
1750839843932135,00000100,false,Rx,0,4,99,1B,C8,41,00,00,00,00,00,00,00,00
1750839843932192,00000101,false,Rx,0,4,9F,0E,F3,42,00,00,00,00,00,00,00,00
1750839843932202,00000102,false,Rx,0,4,00,00,02,42,00,00,00,00,00,00,00,00
1750839844432079,00000100,false,Rx,0,4,80,1B,C8,41,00,00,00,00,00,00,00,00
1750839844432144,00000101,false,Rx,0,4,9E,0E,F3,42,00,00,00,00,00,00,00,00
1750839844432158,00000102,false,Rx,0,4,B7,51,F6,41,00,00,00,00,00,00,00,00
1750839844931491,00000100,false,Rx,0,4,67,1B,C8,41,00,00,00,00,00,00,00,00
1750839844931553,00000101,false,Rx,0,4,9C,0E,F3,42,00,00,00,00,00,00,00,00
1750839844931564,00000102,false,Rx,0,4,DB,49,EA,41,00,00,00,00,00,00,00,00
